"","organ","immune_annotation","age_group","cell_type_count","organ_cell_count","normalized_prop"
"1","BAT","CD4+ Ccr9+ T helper cells","06_months",9,227921,3.94873662365469e-05
"2","BAT","CD4+ Ccr9+ T helper cells","12_months",7,256015,2.73421479210203e-05
"3","BAT","CD4+ Ccr9+ T helper cells","16_months",38,127861,0.000297197738168793
"4","BAT","CD4+ Ccr9+ T helper cells","23_months",26,277509,9.36906550778533e-05
"5","BAT","CD4+ T follicular helper cells","03_months",4,102444,3.90457225410956e-05
"6","BAT","CD4+ T follicular helper cells","06_months",23,227921,0.000100912158160064
"7","BAT","CD4+ T follicular helper cells","12_months",131,256015,0.000511688768236236
"8","BAT","CD4+ T follicular helper cells","16_months",631,127861,0.0049350466522239
"9","BAT","CD4+ T follicular helper cells","23_months",277,277509,0.000998165825252514
"10","BAT","CD4+ T regulatory cells","03_months",9,102444,8.78528757174651e-05
"11","BAT","CD4+ T regulatory cells","06_months",47,227921,0.000206211801457523
"12","BAT","CD4+ T regulatory cells","12_months",65,256015,0.000253891373552331
"13","BAT","CD4+ T regulatory cells","16_months",266,127861,0.00208038416718155
"14","BAT","CD4+ T regulatory cells","23_months",151,277509,0.000544126496798302
"15","BAT","CD4+ memory T cells","03_months",24,102444,0.000234274335246574
"16","BAT","CD4+ memory T cells","06_months",234,227921,0.00102667152215022
"17","BAT","CD4+ memory T cells","12_months",176,256015,0.000687459719157081
"18","BAT","CD4+ memory T cells","16_months",124,127861,0.000969803145603429
"19","BAT","CD4+ memory T cells","23_months",436,277509,0.00157112021592093
"20","BAT","CD4+ naive T cells","03_months",66,102444,0.000644254421928078
"21","BAT","CD4+ naive T cells","06_months",129,227921,0.000565985582723839
"22","BAT","CD4+ naive T cells","12_months",133,256015,0.000519500810499385
"23","BAT","CD4+ naive T cells","16_months",347,127861,0.00271388460906766
"24","BAT","CD4+ naive T cells","23_months",324,277509,0.0011675297017394
"25","BAT","CD8+ Gzmb+ cytotoxic T cells","03_months",1,102444,9.76143063527391e-06
"26","BAT","CD8+ Gzmb+ cytotoxic T cells","06_months",3,227921,1.31624554121823e-05
"27","BAT","CD8+ Gzmb+ cytotoxic T cells","12_months",2,256015,7.81204226314864e-06
"28","BAT","CD8+ Gzmb+ cytotoxic T cells","16_months",1,127861,7.82099310970507e-06
"29","BAT","CD8+ Gzmb+ cytotoxic T cells","23_months",9,277509,3.24313806038723e-05
"30","BAT","CD8+ Gzmk+ cytotoxic T cells","03_months",8,102444,7.80914450821912e-05
"31","BAT","CD8+ Gzmk+ cytotoxic T cells","06_months",39,227921,0.00017111192035837
"32","BAT","CD8+ Gzmk+ cytotoxic T cells","12_months",81,256015,0.00031638771165752
"33","BAT","CD8+ Gzmk+ cytotoxic T cells","16_months",341,127861,0.00266695865040943
"34","BAT","CD8+ Gzmk+ cytotoxic T cells","23_months",394,277509,0.00141977377310285
"35","BAT","CD8+ naive T cells","03_months",14,102444,0.000136660028893835
"36","BAT","CD8+ naive T cells","06_months",57,227921,0.000250086652831464
"37","BAT","CD8+ naive T cells","12_months",95,256015,0.000371072007499561
"38","BAT","CD8+ naive T cells","16_months",153,127861,0.00119661194578488
"39","BAT","CD8+ naive T cells","23_months",190,277509,0.000684662479415082
"40","BAT","CD8+ tissue-resident memory T cells","03_months",189,102444,0.00184491039006677
"41","BAT","CD8+ tissue-resident memory T cells","06_months",658,227921,0.00288696522040532
"42","BAT","CD8+ tissue-resident memory T cells","12_months",939,256015,0.00366775384254829
"43","BAT","CD8+ tissue-resident memory T cells","16_months",613,127861,0.00479426877624921
"44","BAT","CD8+ tissue-resident memory T cells","23_months",624,277509,0.00224857572186848
"45","BAT","Car1+ double negative cells","06_months",1,227921,4.3874851373941e-06
"46","BAT","Car1+ double negative cells","12_months",1,256015,3.90602113157432e-06
"47","BAT","Car1+ double negative cells","16_months",1,127861,7.82099310970507e-06
"48","BAT","Epb41l3+ double negative cells","06_months",5,227921,2.19374256869705e-05
"49","BAT","Epb41l3+ double negative cells","12_months",2,256015,7.81204226314864e-06
"50","BAT","Epb41l3+ double negative cells","23_months",3,277509,1.08104602012908e-05
"51","BAT","Gammadelta T cells","03_months",2,102444,1.95228612705478e-05
"52","BAT","Gammadelta T cells","06_months",14,227921,6.14247919235174e-05
"53","BAT","Gammadelta T cells","12_months",35,256015,0.000136710739605101
"54","BAT","Gammadelta T cells","16_months",25,127861,0.000195524827742627
"55","BAT","Gammadelta T cells","23_months",108,277509,0.000389176567246468
"56","BAT","Liver-resident T cells","03_months",1,102444,9.76143063527391e-06
"57","BAT","Liver-resident T cells","06_months",9,227921,3.94873662365469e-05
"58","BAT","Liver-resident T cells","12_months",6,256015,2.34361267894459e-05
"59","BAT","Liver-resident T cells","16_months",3,127861,2.34629793291152e-05
"60","BAT","Liver-resident T cells","23_months",18,277509,6.48627612077446e-05
"61","BAT","Prf1+ natural killer cells","03_months",23,102444,0.0002245129046113
"62","BAT","Prf1+ natural killer cells","06_months",114,227921,0.000500173305662927
"63","BAT","Prf1+ natural killer cells","12_months",89,256015,0.000347635880710115
"64","BAT","Prf1+ natural killer cells","16_months",25,127861,0.000195524827742627
"65","BAT","Prf1+ natural killer cells","23_months",83,277509,0.000299089398902378
"66","BAT","Sema6d+ natural killer cells","03_months",9,102444,8.78528757174651e-05
"67","BAT","Sema6d+ natural killer cells","06_months",34,227921,0.000149174494671399
"68","BAT","Sema6d+ natural killer cells","12_months",36,256015,0.000140616760736676
"69","BAT","Sema6d+ natural killer cells","16_months",19,127861,0.000148598869084396
"70","BAT","Sema6d+ natural killer cells","23_months",38,277509,0.000136932495883016
"71","BAT","Stab1+ double negative cells","06_months",8,227921,3.50998810991528e-05
"72","BAT","Stab1+ double negative cells","12_months",6,256015,2.34361267894459e-05
"73","BAT","Stab1+ double negative cells","16_months",5,127861,3.91049655485254e-05
"74","BAT","Stab1+ double negative cells","23_months",15,277509,5.40523010064538e-05
"75","BAT","Type 2 innate lymphoid cells","03_months",30,102444,0.000292842919058217
"76","BAT","Type 2 innate lymphoid cells","06_months",118,227921,0.000517723246212503
"77","BAT","Type 2 innate lymphoid cells","12_months",124,256015,0.000484346620315216
"78","BAT","Type 2 innate lymphoid cells","16_months",72,127861,0.000563111503898765
"79","BAT","Type 2 innate lymphoid cells","23_months",111,277509,0.000399987027447758
"80","BAT","Type 3 innate lymphoid cells","03_months",2,102444,1.95228612705478e-05
"81","BAT","Type 3 innate lymphoid cells","06_months",17,227921,7.45872473356996e-05
"82","BAT","Type 3 innate lymphoid cells","12_months",3,256015,1.1718063394723e-05
"83","BAT","Type 3 innate lymphoid cells","16_months",5,127861,3.91049655485254e-05
"84","BAT","Type 3 innate lymphoid cells","23_months",6,277509,2.16209204025815e-05
"85","Colon","CD4+ Ccr9+ T helper cells","03_months",202,293795,0.000687554247008969
"86","Colon","CD4+ Ccr9+ T helper cells","06_months",281,223475,0.00125741134355073
"87","Colon","CD4+ Ccr9+ T helper cells","12_months",211,266816,0.000790807147997122
"88","Colon","CD4+ Ccr9+ T helper cells","16_months",324,238145,0.00136051565222868
"89","Colon","CD4+ Ccr9+ T helper cells","23_months",331,278009,0.00119060893712074
"90","Colon","CD4+ T follicular helper cells","03_months",74,293795,0.000251876308310216
"91","Colon","CD4+ T follicular helper cells","06_months",256,223475,0.0011455420069359
"92","Colon","CD4+ T follicular helper cells","12_months",160,266816,0.000599664188054689
"93","Colon","CD4+ T follicular helper cells","16_months",226,238145,0.000949001658653341
"94","Colon","CD4+ T follicular helper cells","23_months",183,278009,0.00065825207097612
"95","Colon","CD4+ T regulatory cells","03_months",343,293795,0.00116748072635681
"96","Colon","CD4+ T regulatory cells","06_months",291,223475,0.00130215907819667
"97","Colon","CD4+ T regulatory cells","12_months",261,266816,0.000978202206764212
"98","Colon","CD4+ T regulatory cells","16_months",379,238145,0.00159146738331689
"99","Colon","CD4+ T regulatory cells","23_months",262,278009,0.000942415533310073
"100","Colon","CD4+ memory T cells","03_months",487,293795,0.00165761840739291
"101","Colon","CD4+ memory T cells","06_months",657,223475,0.00293992616623783
"102","Colon","CD4+ memory T cells","12_months",469,266816,0.00175776565123531
"103","Colon","CD4+ memory T cells","16_months",490,238145,0.00205756996787671
"104","Colon","CD4+ memory T cells","23_months",418,278009,0.00150354844627332
"105","Colon","CD4+ naive T cells","03_months",1851,293795,0.00630031144165149
"106","Colon","CD4+ naive T cells","06_months",1258,223475,0.00562926501845844
"107","Colon","CD4+ naive T cells","12_months",514,266816,0.00192642120412569
"108","Colon","CD4+ naive T cells","16_months",297,238145,0.00124713934787629
"109","Colon","CD4+ naive T cells","23_months",232,278009,0.000834505357740217
"110","Colon","CD8+ Gzmb+ cytotoxic T cells","03_months",485,293795,0.00165081093960074
"111","Colon","CD8+ Gzmb+ cytotoxic T cells","06_months",508,223475,0.00227318492001342
"112","Colon","CD8+ Gzmb+ cytotoxic T cells","12_months",492,266816,0.00184396737826817
"113","Colon","CD8+ Gzmb+ cytotoxic T cells","16_months",524,238145,0.00220034012891306
"114","Colon","CD8+ Gzmb+ cytotoxic T cells","23_months",522,278009,0.00187763705491549
"115","Colon","CD8+ Gzmk+ cytotoxic T cells","03_months",39,293795,0.000132745621947276
"116","Colon","CD8+ Gzmk+ cytotoxic T cells","06_months",39,223475,0.000174516165119141
"117","Colon","CD8+ Gzmk+ cytotoxic T cells","12_months",35,266816,0.000131176541136963
"118","Colon","CD8+ Gzmk+ cytotoxic T cells","16_months",77,238145,0.000323332423523484
"119","Colon","CD8+ Gzmk+ cytotoxic T cells","23_months",146,278009,0.000525162854439964
"120","Colon","CD8+ naive T cells","03_months",130,293795,0.000442485406490921
"121","Colon","CD8+ naive T cells","06_months",81,223475,0.000362456650632062
"122","Colon","CD8+ naive T cells","12_months",38,266816,0.000142420244662989
"123","Colon","CD8+ naive T cells","16_months",81,238145,0.000340128913057171
"124","Colon","CD8+ naive T cells","23_months",64,278009,0.000230208374549025
"125","Colon","CD8+ tissue-resident memory T cells","03_months",19,293795,6.46709440255961e-05
"126","Colon","CD8+ tissue-resident memory T cells","06_months",17,223475,7.6071148898087e-05
"127","Colon","CD8+ tissue-resident memory T cells","12_months",14,266816,5.24706164547853e-05
"128","Colon","CD8+ tissue-resident memory T cells","16_months",14,238145,5.87877133679061e-05
"129","Colon","CD8+ tissue-resident memory T cells","23_months",9,278009,3.23730526709567e-05
"130","Colon","Car1+ double negative cells","03_months",3670,293795,0.0124917033986283
"131","Colon","Car1+ double negative cells","06_months",2188,223475,0.00979080434053026
"132","Colon","Car1+ double negative cells","12_months",2569,266816,0.00962835811945311
"133","Colon","Car1+ double negative cells","16_months",2513,238145,0.0105523945495391
"134","Colon","Car1+ double negative cells","23_months",3121,278009,0.0112262552651173
"135","Colon","Epb41l3+ double negative cells","03_months",93,293795,0.000316547252335812
"136","Colon","Epb41l3+ double negative cells","06_months",75,223475,0.000335608009844502
"137","Colon","Epb41l3+ double negative cells","12_months",75,266816,0.000281092588150636
"138","Colon","Epb41l3+ double negative cells","16_months",67,238145,0.000281341199689265
"139","Colon","Epb41l3+ double negative cells","23_months",87,278009,0.000312939509152581
"140","Colon","Gammadelta T cells","03_months",320,293795,0.00108919484674688
"141","Colon","Gammadelta T cells","06_months",348,223475,0.00155722116567849
"142","Colon","Gammadelta T cells","12_months",566,266816,0.00212131206524346
"143","Colon","Gammadelta T cells","16_months",626,238145,0.00262865061202209
"144","Colon","Gammadelta T cells","23_months",897,278009,0.00322651424953868
"145","Colon","Liver-resident T cells","03_months",9,293795,3.0633605064756e-05
"146","Colon","Liver-resident T cells","06_months",9,223475,4.02729611813402e-05
"147","Colon","Liver-resident T cells","12_months",7,266816,2.62353082273927e-05
"148","Colon","Liver-resident T cells","16_months",7,238145,2.93938566839531e-05
"149","Colon","Liver-resident T cells","23_months",6,278009,2.15820351139711e-05
"150","Colon","Prf1+ natural killer cells","03_months",105,293795,0.00035739205908882
"151","Colon","Prf1+ natural killer cells","06_months",79,223475,0.000353507103702875
"152","Colon","Prf1+ natural killer cells","12_months",55,266816,0.000206134564643799
"153","Colon","Prf1+ natural killer cells","16_months",59,238145,0.00024774822062189
